burst,polling_calls,usd,ctx_tokens
isolated,5690,809.2240045500001,1285345232
2 polls in 5 calls,3029,361.4669883000003,572016419
3 polls in 5 calls,975,103.55973009999991,166578048
4+ polls in 5 calls,622,84.88972059999998,141521613
