kind,mode,sessions,usd,committed_lines,usd_per_committed_line,median_calls,pct_sessions_with_commits
interrupted,human,714,19650.044770350007,5660467,0.003471452933185549,98.0,89.35574229691876
interrupted,collab,479,12022.363929049996,627228,0.019167454145940545,85.0,100.0
interrupted,unknown,200,11227.271779749992,,,198.0,0.0
interrupted,vibe,551,10163.333866250012,133387,0.07619433577672495,80.0,99.45553539019964
never interrupted,vibe,2443,16246.403844249995,732485,0.02217984510843225,31.0,99.38600081866558
never interrupted,human,1452,13801.925133450017,6192514,0.002228808063001556,30.0,84.0909090909091
never interrupted,unknown,313,6880.5373224000095,,,58.0,0.0
never interrupted,collab,1078,6749.223794900011,1617996,0.004171347639240154,32.0,99.25788497217069
