agent,turns,agent_hours,median_agent_time_s,p90_agent_time_s,human_wait_hours,median_human_time_s,usd,usd_per_agent_hour
claude_code,63245,14676.85528166667,68.845,685.7284,2767.733447777779,84.864,94333.53705600048,6.427367119565151
codex,11767,1461.2253908333403,81.586,565.77,431.9903869444467,64.928,18724.19835704992,12.814038460125216
opencode,2952,219.93679694444484,51.888,366.20240000000007,136.7853472222219,110.07849999999999,887.1855619500009,4.033820507871179
