length_bucket,final_replies,pct_unread,text_tokens,unread_usd
1. <500 chars,27324,7.978334065290587,1393877.0,3.2900300000000002
2. 0.5-2k,30327,15.019619480990537,8348808.75,33.243778875000025
3. 2-6k,8181,22.540031780955875,6133602.0,34.759919499999995
4. >6k chars,696,48.275862068965516,1477420.5,17.485052249999992
