agent,usd,input_usd,cache_read_usd,cache_write_usd,output_usd,pct_input,pct_cache_read,pct_cache_write,pct_output
ALL,116676.7178249001,5353.6051320003,74495.97992940014,26056.938277500652,10770.194486001636,4.588409094635829,63.848196382416475,22.33259450836199,9.230800014587963
claude_code,96741.10444040004,178.71542600021326,61755.66636440017,26014.078260000653,8792.644390001518,0.18473577186656548,63.836015436898805,26.89040859154893,9.088840199688295
codex,19048.42782255006,4899.3771277500855,12295.384588799974,0.0,1853.6661060001172,25.720637804816974,64.54802833777366,0.0,9.731333857409982
opencode,887.185561949999,275.5125782500007,444.92897619999997,42.860017499999984,123.88399000000001,31.05467334752775,50.150610569232384,4.831009355674742,13.963706727565299
cursor,0.0,0.0,0.0,0.0,0.0,,,,
