month,calls,cache_write_5m_tokens,cache_write_1h_tokens,pct_tokens_1h,cache_write_usd,break_rate_pct
2026-01-01 00:00:00,11540,42497376,3278996,7.163075308807784,278.5190824999998,2.902946273830156
2026-02-01 00:00:00,115494,31097268,257257993,89.21564049424435,2569.8296450000025,1.4840597779971254
2026-03-01 00:00:00,172815,35236013,487259544,93.25620810972752,4849.094576250067,1.3916616034487748
2026-04-01 00:00:00,150215,88208454,481229444,84.50955682615982,5258.749883000021,1.3214392703791233
2026-05-01 00:00:00,105420,4129969,465830520,99.12120931510904,4615.112238750006,1.2625687725289318
2026-06-01 00:00:00,95067,7995492,520791367,98.4879556169152,5477.516287500011,1.503150409711046
2026-07-01 00:00:00,14947,21063946,93606074,81.63081684297256,1466.1487617500006,2.1275172275372984
