agent,writes,writes_on_known_files,pct_writes_on_known_files,output_tokens_on_known_files,usd_on_known_files,usd_all_writes
claude_code,21025,5791,27.543400713436384,7542823.5,180.3305862500004,603.5731295000011
codex,1080,112,10.37037037037037,220761.25,4.651437500000002,42.40277137500005
opencode,1108,278,25.09025270758123,318836.0,1.5416202500000005,8.614567249999993
cursor,488,101,20.69672131147541,74046.25,,
