agent,sessions,median_entry_tokens,total_entry_tokens,total_entry_usd,pct_of_total_usd
claude_code,7109,20472.0,168260247,1024.5016799999987,0.8780686490834484
codex,1165,24232.0,32576745,119.29926775000006,0.10224770628964441
opencode,661,7174.0,4801489,10.64198250000004,0.009120913493616472
