agent,bash_calls,polling_calls,pct_of_bash_calls,sessions,usd_of_the_calls_that_issued_them,ctx_tokens
claude_code,291956,7041,2.41166477140391,961,1081.5148779500003,1705656825
codex,220422,2974,1.3492301131466007,134,267.69092795000034,438266466
opencode,10393,192,1.8473972866352353,21,9.934637649999999,21538021
cursor,2480,109,4.395161290322581,11,,0
