mode,sessions,usd,committed_lines,usd_per_committed_line,ctx_tokens_per_committed_line,output_tokens_per_committed_line
human,2574,37041.13104470001,12959502,0.002858221793144521,3830.0897512882825,9.685110508104401
vibe,4072,34809.257887149935,1799204,0.019347032291585575,26098.980032836742,80.4846932310066
unknown,602,23054.213122649995,,,,
collab,2018,21772.11577039998,3296891,0.006603832450147724,8753.707687939941,26.25239930589152
