agent,tool_calls,ceremony_calls,pct_of_tool_calls,todo_tokens,task_tokens,ceremony_usd
claude_code,731210,23293,3.1855417732252023,3834506.75,10601062.25,355.9561050000001
codex,309060,6174,1.9976703552708213,447921.0,356112.5,20.099287375000003
opencode,38690,1267,3.2747479968984234,129781.25,297955.0,5.324805749999997
cursor,7864,424,5.391658189216684,65548.5,41404.25,
