speed,calls,pct_of_calls,sessions,usd,pct_of_usd,output_tokens
standard,553002,81.59681286657568,6404,87855.8980507997,90.81547968570692,342094262
not recorded,120347,17.757497510052012,4222,8237.12569610001,8.514607874023953,6190260
fast,4376,0.6456896233723117,42,648.0806934999997,0.6699124402691407,3312659
