agent,tool_kind,calls,tokens,usd,median_input_chars
claude_code,task,17833,10601062.25,265.92636750000025,1659.0
claude_code,todo,5460,3834506.75,90.02973750000002,1007.5
codex,todo,3939,447921.0,11.346194375000012,375.0
codex,task,2235,356112.5,8.753092999999998,110.0
opencode,task,429,297955.0,4.123623999999999,4903.0
opencode,todo,838,129781.25,1.2011817500000004,549.5
cursor,todo,299,65548.5,,283.0
cursor,task,125,41404.25,,1280.0
