bucket,final_replies,pct_of_replies,text_tokens,usd,median_text_chars
1. <25% of read time,4604,6.9203944203944205,1861497.25,44.13360912500003,1071.0
2. 25-50%,4311,6.479978354978355,1830607.25,44.6451715000001,1266.0
3. 50-100%,7535,11.326058201058201,2827220.75,67.58133437499995,1161.0
4. 1-5x,22508,33.83237133237133,6418166.25,152.99359687499833,868.0
5. >5x (took their time),27570,41.441197691197694,4416216.75,104.6308602499996,319.0
