agent,calls,sidechain_calls,pct_calls_sidechain,usd,sidechain_usd,pct_usd_sidechain
claude_code,677725,300,0.04426574200450035,96741.10444039942,2.62468875,0.002713106042341109
codex,218945,0,0.0,19048.42782255005,,
opencode,27949,0,0.0,887.1855619499995,,
cursor,8910,0,0.0,0.0,,
