agent,edits,edits_old_string_over_1500,pct,old_string_chars,usd_old_string,usd_old_string_all_edits
claude_code,132909,5784,4.351849761867142,15494375,93.72931124999992,320.8135637500089
opencode,4189,118,2.816901408450704,345705,0.34008375,0.9802517499999999
codex,24569,0,0.0,,,0.0
cursor,1284,40,3.115264797507788,110946,,
