agent,sessions,calls,usd,pct_of_total_usd,input_tokens,cache_read_tokens,cache_write_tokens,output_tokens,ctx_tokens
claude_code,7230,677725,96741.10444040025,82.9138034081339,119905333,123228962728,2697907771,351597181,126048591306
codex,1167,218945,19048.42782255006,16.3258173332718,29444027637,28165371264,0,73871238,29445241333
opencode,783,27949,887.1855619499997,0.7603792585950422,237032931,2416143822,18555414,10336743,1149408071
cursor,86,8910,0.0,0.0,0,0,0,0,0
