mode,turns,agent_hours,human_wait_hours,token_usd,human_usd_if_watching_at_60ph,ratio_wait_cost_to_token_cost,median_agent_time_s
vibe,25856,4527.411398333352,1067.4184908333395,33771.08901254988,271644.6839000011,8.043705188158238,66.7475
human,24835,4493.423139166644,1105.102084444447,36283.1334199998,269605.3883499987,7.430598268047825,67.328
unknown,11520,3794.4389541666433,500.1520758333348,22703.753645849858,227666.33724999859,10.027695895635079,80.542
collab,15753,3542.7439777777463,663.8365308333345,21186.944896600115,212564.6386666648,10.032812172970498,71.522
