agent,writes,median_json_overhead_ratio,p90_json_overhead_ratio,extra_tokens_vs_bare_content
claude_code,20469,0.07996832937450514,0.2621359223300971,2208328.75
codex,1076,-0.01036001036001036,-0.0026679116921229907,0.0
opencode,1063,0.07345917671139414,0.2643384615384616,73146.75
cursor,474,0.09577464788732394,0.28475336322869954,29719.25
