gap_bucket,calls,pct_of_calls,breaks,break_rate_pct,recached_tokens,recached_tokens_on_breaks,cache_write_usd,cache_write_usd_on_breaks,median_gap_min
1. <1 min,582011,87.45495854232469,3448,0.5924286654375949,1086734863,302857449,10632.37779750067,2977.07964875,0.12963333333333332
2. 1-5 min,59077,8.87711157659377,1422,2.4070281158488074,382565768,207676629,3687.427844500014,2007.064167,1.87655
3. 5-60 min,20781,3.122623959801532,1612,7.757085799528415,343417644,283959924,2951.1513647500037,2371.31022725,9.746
4. >60 min,3629,0.5453059212800039,3035,83.63185450537338,728460259,691617987,7244.013468000003,6852.497117000003,206.9331
