measure,agent,model,n_items,population_chars,sample_share,wasted_chars,wasted_tokens,price_usd_per_mtok,usd,priced
json_overhead,claude_code,claude-fable-5,3061,4747066,0.08987177266739191,426627.23638910544,106656.80909727636,50.0,5.332840454863818,True
json_overhead,claude_code,claude-haiku-4-5-20251001,325,554437,0.08987177266739191,49828.23602239077,12457.059005597692,5.0,0.06228529502798846,True
json_overhead,claude_code,claude-opus-4-5-20251101,4208,7081408,0.08987177266739191,636418.6899410504,159104.6724852626,25.0,3.9776168121315645,True
json_overhead,claude_code,claude-opus-4-6,73508,127764563,0.08987177266739191,11482427.760884672,2870606.940221168,25.0,71.7651735055292,True
json_overhead,claude_code,claude-opus-4-7,35060,68836302,0.08987177266739191,6186440.484607935,1546610.1211519837,25.0,38.6652530287996,True
json_overhead,claude_code,claude-opus-4-8,23819,40602705,0.08987177266739191,3649037.0734411767,912259.2683602942,25.0,22.806481709007354,True
json_overhead,claude_code,claude-sonnet-4-5-20250929,3159,6329803,0.08987177266739191,568870.6162453752,142217.6540613438,15.0,2.1332648109201573,True
json_overhead,claude_code,claude-sonnet-4-6,9218,15953032,0.08987177266739191,1433727.2652596284,358431.8163149071,15.0,5.376477244723607,True
json_overhead,claude_code,claude-sonnet-5,205,388338,0.08987177266739191,34900.62445410964,8725.15611352741,10.0,0.08725156113527409,True
json_overhead,claude_code,exact-dodo,78,131138,0.08987177266739191,11785.60452405644,2946.40113101411,,,False
json_overhead,claude_code,glm-4.7,77,128304,0.08987177266739191,11530.907920317051,2882.726980079263,,,False
json_overhead,claude_code,glm-5,371,994306,0.08987177266739191,89360.04279382378,22340.010698455946,,,False
json_overhead,claude_code,glm-5.1,132,265420,0.08987177266739191,23853.76590137916,5963.44147534479,,,False
json_overhead,claude_code,glm-5.2,8,7913,0.08987177266739191,711.1553371170721,177.78883427926803,,,False
json_overhead,claude_code,gpt-5.3-codex,1,3222,0.08987177266739191,289.5668515343367,72.39171288358418,14.0,0.0010134839803701784,True
json_overhead,claude_code,kimi-k2.5,12,114820,0.08987177266739191,10319.076937669939,2579.7692344174848,,,False
json_overhead,claude_code,qwen3.5,3,1667,0.08987177266739191,149.8162450365423,37.45406125913558,,,False
json_overhead,claude_code,stealth,61,64247,0.08987177266739191,5773.991778561928,1443.497944640482,,,False
json_overhead,codex,gpt-5.3-codex,919,1423897,0.04708812972322079,67048.64664850492,16762.16166212623,14.0,0.23467026326976723,True
json_overhead,codex,gpt-5.3-codex-spark,16,14813,0.04708812972322079,697.5164655900695,174.37911639751738,14.0,0.0024413076295652435,True
json_overhead,codex,gpt-5.4,6030,15206793,0.04708812972322079,716059.4414581658,179014.86036454144,15.0,2.685222905468122,True
json_overhead,codex,gpt-5.4-mini,72,113889,0.04708812972322079,5362.820006047892,1340.705001511973,4.5,0.006033172506803878,True
json_overhead,codex,gpt-5.5,18612,35877673,0.04708812972322079,1689412.520391296,422353.130097824,30.0,12.67059390293472,True
json_overhead,opencode,(unknown),1,41,0.05168646486501875,2.119145059465769,0.5297862648664422,,,False
json_overhead,opencode,anthropic/claude-opus-4.6,19,19380,0.05168646486501875,1001.6836890840634,250.42092227101585,25.0,0.0062605230567753965,True
json_overhead,opencode,anthropic/claude-sonnet-4.6,1,117,0.05168646486501875,6.047316389207194,1.5118290973017985,15.0,2.2677436459526977e-05,True
json_overhead,opencode,big-pickle,944,1903515,0.05168646486501875,98385.96116753617,24596.49029188404,,,False
json_overhead,opencode,claude-haiku-4.5,94,415852,0.05168646486501875,21493.919787047776,5373.479946761944,5.0,0.02686739973380972,True
json_overhead,opencode,claude-opus-4-6,6,2865,0.05168646486501875,148.08172183827872,37.02043045956968,25.0,0.000925510761489242,True
json_overhead,opencode,claude-opus-4-7,324,686168,0.05168646486501875,35465.59822350019,8866.399555875047,25.0,0.22165998889687616,True
json_overhead,opencode,claude-opus-4.6,19,62009,0.05168646486501875,3205.0259998149477,801.2564999537369,25.0,0.020031412498843423,True
json_overhead,opencode,claude-sonnet-4.5,6,5704,0.05168646486501875,294.81959559006697,73.70489889751674,15.0,0.001105573483462751,True
json_overhead,opencode,claude-sonnet-4.6,108,434540,0.05168646486501875,22459.83644244525,5614.959110611312,15.0,0.08422438665916968,True
json_overhead,opencode,deepseek-v4-flash-free,85,254589,0.05168646486501875,13158.805403520259,3289.7013508800646,,,False
json_overhead,opencode,gemini-2.5-flash,1,172,0.05168646486501875,8.890071956783226,2.2225179891958065,,,False
json_overhead,opencode,gemini-3.1-pro-preview,145,195240,0.05168646486501875,10091.26540024626,2522.816350061565,,,False
json_overhead,opencode,gemini-3.5-flash,1,12039,0.05168646486501875,622.2533505099608,155.5633376274902,,,False
json_overhead,opencode,glm-5,11,30675,0.05168646486501875,1585.4823097344502,396.37057743361254,,,False
json_overhead,opencode,google/gemini-3.1-pro-preview,35,31865,0.05168646486501875,1646.9892029238226,411.74730073095566,,,False
json_overhead,opencode,gpt-5.3-codex,2385,4126795,0.05168646486501875,213299.44477263506,53324.861193158766,14.0,0.7465480567042228,True
json_overhead,opencode,gpt-5.4,336,1515791,0.05168646486501875,78345.87826421164,19586.46956605291,15.0,0.29379704349079366,True
json_overhead,opencode,gpt-5.5,63,85324,0.05168646486501875,4410.09592814286,1102.523982035715,30.0,0.033075719461071455,True
json_overhead,opencode,gpt-5.5-fast,6,8902,0.05168646486501875,460.1129102283969,115.02822755709923,30.0,0.003450846826712977,True
json_overhead,opencode,ling-2.6-flash-free,2,538,0.05168646486501875,27.80731809738009,6.9518295243450225,,,False
json_overhead,opencode,mimo-v2.5-free,234,409228,0.05168646486501875,21151.548643781894,5287.887160945474,,,False
json_overhead,opencode,minimax-m2.5-free,9,29955,0.05168646486501875,1548.2680550316368,387.0670137579092,,,False
json_overhead,opencode,nemotron-3-super-free,13,19950,0.05168646486501875,1031.144974057124,257.786243514281,,,False
json_overhead,opencode,north-mini-code-free,4,10635,0.05168646486501875,549.6855538394744,137.4213884598686,,,False
json_overhead,opencode,qwen3.6-plus,442,663608,0.05168646486501875,34299.551576145364,8574.887894036341,,,False
json_overhead,opencode,z-ai/glm-5.1,8,13638,0.05168646486501875,704.9000078291258,176.22500195728145,,,False
newlines_and_indent,claude_code,claude-fable-5,3061,4747066,0.07285828679882228,345863.09608093806,86465.77402023452,50.0,4.323288701011726,True
newlines_and_indent,claude_code,claude-haiku-4-5-20251001,325,554437,0.07285828679882228,40395.32995787863,10098.832489469658,5.0,0.05049416244734829,True
newlines_and_indent,claude_code,claude-opus-4-5-20251101,4208,7081408,0.07285828679882228,515939.2550034745,128984.81375086862,25.0,3.2246203437717154,True
newlines_and_indent,claude_code,claude-opus-4-6,73508,127764563,0.07285828679882228,9308707.173780197,2327176.7934450493,25.0,58.179419836126236,True
newlines_and_indent,claude_code,claude-opus-4-7,35060,68836302,0.07285828679882228,5015295.033286343,1253823.7583215858,25.0,31.345593958039647,True
newlines_and_indent,claude_code,claude-opus-4-8,23819,40602705,0.07285828679882228,2958243.5256979754,739560.8814244939,25.0,18.489022035612347,True
newlines_and_indent,claude_code,claude-sonnet-4-5-20250929,3159,6329803,0.07285828679882228,461178.60235404567,115294.65058851142,15.0,1.7294197588276712,True
newlines_and_indent,claude_code,claude-sonnet-4-6,9218,15953032,0.07285828679882228,1162310.5807667894,290577.64519169735,15.0,4.35866467787546,True
newlines_and_indent,claude_code,claude-sonnet-5,205,388338,0.07285828679882228,28293.641378881046,7073.4103447202615,10.0,0.07073410344720261,True
newlines_and_indent,claude_code,exact-dodo,78,131138,0.07285828679882228,9554.490014223957,2388.622503555989,,,False
newlines_and_indent,claude_code,glm-4.7,77,128304,0.07285828679882228,9348.009629436094,2337.0024073590234,,,False
newlines_and_indent,claude_code,glm-5,371,994306,0.07285828679882228,72443.43171378979,18110.857928447447,,,False
newlines_and_indent,claude_code,glm-5.1,132,265420,0.07285828679882228,19338.04648214341,4834.511620535853,,,False
newlines_and_indent,claude_code,glm-5.2,8,7913,0.07285828679882228,576.5276234390807,144.13190585977017,,,False
newlines_and_indent,claude_code,gpt-5.3-codex,1,3222,0.07285828679882228,234.7494000658054,58.68735001645135,14.0,0.0008216229002303188,True
newlines_and_indent,claude_code,kimi-k2.5,12,114820,0.07285828679882228,8365.588490240774,2091.3971225601936,,,False
newlines_and_indent,claude_code,qwen3.5,3,1667,0.07285828679882228,121.45476409363674,30.363691023409185,,,False
newlines_and_indent,claude_code,stealth,61,64247,0.07285828679882228,4680.926351963935,1170.2315879909838,,,False
newlines_and_indent,codex,gpt-5.3-codex,919,1423897,0.04873706178206705,69396.55606029992,17349.13901507498,14.0,0.2428879462110497,True
newlines_and_indent,codex,gpt-5.3-codex-spark,16,14813,0.04873706178206705,721.9420961777591,180.48552404443979,14.0,0.002526797336622157,True
newlines_and_indent,codex,gpt-5.4,6030,15206793,0.04873706178206705,741134.4099481048,185283.6024870262,15.0,2.779254037305393,True
newlines_and_indent,codex,gpt-5.4-mini,72,113889,0.04873706178206705,5550.615229297834,1387.6538073244585,4.5,0.006244442132960063,True
newlines_and_indent,codex,gpt-5.5,18612,35877673,0.04873706178206705,1748572.3655977987,437143.0913994497,30.0,13.11429274198349,True
newlines_and_indent,opencode,(unknown),1,41,0.08875381669881353,3.638906484651355,0.9097266211628388,,,False
newlines_and_indent,opencode,anthropic/claude-opus-4.6,19,19380,0.08875381669881353,1720.0489676230063,430.0122419057516,25.0,0.01075030604764379,True
newlines_and_indent,opencode,anthropic/claude-sonnet-4.6,1,117,0.08875381669881353,10.384196553761184,2.596049138440296,15.0,3.894073707660444e-05,True
newlines_and_indent,opencode,big-pickle,944,1903515,0.08875381669881353,168944.22139344204,42236.05534836051,,,False
newlines_and_indent,opencode,claude-haiku-4.5,94,415852,0.08875381669881353,36908.452181835004,9227.113045458751,5.0,0.04613556522729376,True
newlines_and_indent,opencode,claude-opus-4-6,6,2865,0.08875381669881353,254.27968484210078,63.569921210525195,25.0,0.0015892480302631298,True
newlines_and_indent,opencode,claude-opus-4-7,324,686168,0.08875381669881353,60900.02889659149,15225.007224147872,25.0,0.3806251806036968,True
newlines_and_indent,opencode,claude-opus-4.6,19,62009,0.08875381669881353,5503.535419676728,1375.883854919182,25.0,0.03439709637297955,True
newlines_and_indent,opencode,claude-sonnet-4.5,6,5704,0.08875381669881353,506.2517704500324,126.5629426125081,15.0,0.0018984441391876215,True
newlines_and_indent,opencode,claude-sonnet-4.6,108,434540,0.08875381669881353,38567.083508302436,9641.770877075609,15.0,0.14462656315613415,True
newlines_and_indent,opencode,deepseek-v4-flash-free,85,254589,0.08875381669881353,22595.74543953424,5648.93635988356,,,False
newlines_and_indent,opencode,gemini-2.5-flash,1,172,0.08875381669881353,15.265656472195928,3.816414118048982,,,False
newlines_and_indent,opencode,gemini-3.1-pro-preview,145,195240,0.08875381669881353,17328.295172276354,4332.073793069088,,,False
newlines_and_indent,opencode,gemini-3.5-flash,1,12039,0.08875381669881353,1068.507199237016,267.126799809254,,,False
newlines_and_indent,opencode,glm-5,11,30675,0.08875381669881353,2722.523327236105,680.6308318090263,,,False
newlines_and_indent,opencode,google/gemini-3.1-pro-preview,35,31865,0.08875381669881353,2828.1403691076935,707.0350922769234,,,False
newlines_and_indent,opencode,gpt-5.3-codex,2385,4126795,0.08875381669881353,366268.8069835802,91567.20174589504,14.0,1.2819408244425305,True
newlines_and_indent,opencode,gpt-5.4,336,1515791,0.08875381669881353,134532.23656771125,33633.05914192781,15.0,0.5044958871289172,True
newlines_and_indent,opencode,gpt-5.5,63,85324,0.08875381669881353,7572.830656009566,1893.2076640023915,30.0,0.056796229920071745,True
newlines_and_indent,opencode,gpt-5.5-fast,6,8902,0.08875381669881353,790.0864762528381,197.52161906320953,30.0,0.005925648571896286,True
newlines_and_indent,opencode,ling-2.6-flash-free,2,538,0.08875381669881353,47.74955338396168,11.93738834599042,,,False
newlines_and_indent,opencode,mimo-v2.5-free,234,409228,0.08875381669881353,36320.54690002206,9080.136725005515,,,False
newlines_and_indent,opencode,minimax-m2.5-free,9,29955,0.08875381669881353,2658.6205792129595,664.6551448032399,,,False
newlines_and_indent,opencode,nemotron-3-super-free,13,19950,0.08875381669881353,1770.63864314133,442.6596607853325,,,False
newlines_and_indent,opencode,north-mini-code-free,4,10635,0.08875381669881353,943.896840591882,235.9742101479705,,,False
newlines_and_indent,opencode,qwen3.6-plus,442,663608,0.08875381669881353,58897.74279186625,14724.435697966563,,,False
newlines_and_indent,opencode,z-ai/glm-5.1,8,13638,0.08875381669881353,1210.424552138419,302.6061380346047,,,False
