measure,agent,model,n_items,population_chars,sample_share,wasted_chars,wasted_tokens,price_usd_per_mtok,usd,priced
lineno_prefixes,claude_code,claude-fable-5,1344,11690398,0.08704998405857049,1017648.9595383444,254412.2398845861,10.0,2.544122398845861,True
lineno_prefixes,claude_code,claude-haiku-4-5-20251001,344,1395136,0.08704998405857049,121446.56655953781,30361.641639884452,1.0,0.030361641639884453,True
lineno_prefixes,claude_code,claude-opus-4-5-20251101,4529,26834013,0.08704998405857049,2335900.4038774734,583975.1009693684,5.0,2.919875504846842,True
lineno_prefixes,claude_code,claude-opus-4-6,80996,412755171,0.08704998405857049,35930331.05564254,8982582.763910634,5.0,44.912913819553175,True
lineno_prefixes,claude_code,claude-opus-4-7,26042,135942765,0.08704998405857049,11833815.526127994,2958453.8815319985,5.0,14.792269407659992,True
lineno_prefixes,claude_code,claude-opus-4-8,15726,105156436,0.08704998405857049,9153866.077456089,2288466.519364022,5.0,11.44233259682011,True
lineno_prefixes,claude_code,claude-sonnet-4-5-20250929,2475,11596877,0.08704998405857049,1009507.9579792029,252376.9894948007,3.0,0.7571309684844021,True
lineno_prefixes,claude_code,claude-sonnet-4-6,8993,41208956,0.08704998405857049,3587238.962870333,896809.7407175832,3.0,2.6904292221527495,True
lineno_prefixes,claude_code,claude-sonnet-5,343,30738726,0.08704998405857049,2675805.6082807663,668951.4020701916,2.0,1.337902804140383,True
lineno_prefixes,claude_code,exact-dodo,81,340144,0.08704998405857049,29609.5297776184,7402.3824444046,,,False
lineno_prefixes,claude_code,glm-4.7,78,196243,0.08704998405857049,17082.950021606048,4270.737505401512,,,False
lineno_prefixes,claude_code,glm-5,555,3286853,0.08704998405857049,286120.5012528646,71530.12531321615,,,False
lineno_prefixes,claude_code,glm-5.1,160,661763,0.08704998405857049,57606.458600551785,14401.614650137946,,,False
lineno_prefixes,claude_code,glm-5.2,6,6216,0.08704998405857049,541.1027009080742,135.27567522701855,,,False
lineno_prefixes,claude_code,gpt-5.3-codex,13,26439,0.08704998405857049,2301.5145285245453,575.3786321311363,1.75,0.0010069126062294887,True
lineno_prefixes,claude_code,kimi-k2.5,15,76922,0.08704998405857049,6696.05887375336,1674.01471843834,,,False
lineno_prefixes,claude_code,qwen3.5,3,14251,0.08704998405857049,1240.549322818688,310.137330704672,,,False
lineno_prefixes,claude_code,stealth,33,38260,0.08704998405857049,3330.532390080907,832.6330975202268,,,False
lineno_prefixes,opencode,anthropic/claude-opus-4.6,23,319203,0.1238938800271429,39547.29818630409,9886.824546576023,5.0,0.049434122732880115,True
lineno_prefixes,opencode,anthropic/claude-sonnet-4.6,1,400,0.1238938800271429,49.55755201085716,12.38938800271429,3.0,3.716816400814287e-05,True
lineno_prefixes,opencode,big-pickle,2410,7397227,0.1238938800271429,916471.1544715422,229117.78861788556,,,False
lineno_prefixes,opencode,claude-haiku-4.5,115,176840,0.1238938800271429,21909.39374399995,5477.3484359999875,1.0,0.005477348435999988,True
lineno_prefixes,opencode,claude-opus-4-6,24,73654,0.1238938800271429,9125.279839519182,2281.3199598797955,5.0,0.011406599799398977,True
lineno_prefixes,opencode,claude-opus-4-7,12,37577,0.1238938800271429,4655.560329779949,1163.8900824449872,5.0,0.005819450412224936,True
lineno_prefixes,opencode,claude-opus-4.6,41,334076,0.1238938800271429,41389.97186394779,10347.492965986947,5.0,0.05173746482993473,True
lineno_prefixes,opencode,claude-sonnet-4.5,6,40912,0.1238938800271429,5068.7464196704705,1267.1866049176176,3.0,0.0038015598147528524,True
lineno_prefixes,opencode,claude-sonnet-4.6,267,1392548,0.1238938800271429,172528.1748440378,43132.04371100945,3.0,0.12939613113302834,True
lineno_prefixes,opencode,deepseek-v4-flash-free,227,979930,0.1238938800271429,121407.32985499814,30351.832463749535,,,False
lineno_prefixes,opencode,gemini-3.1-pro-preview,29,148057,0.1238938800271429,18343.356195178694,4585.8390487946735,,,False
lineno_prefixes,opencode,gemini-3.5-flash,17,54733,0.1238938800271429,6781.083735525613,1695.2709338814032,,,False
lineno_prefixes,opencode,glm-5,112,470921,0.1238938800271429,58344.22987626216,14586.05746906554,,,False
lineno_prefixes,opencode,glm-5.1,13,62047,0.1238938800271429,7687.243574044135,1921.8108935110338,,,False
lineno_prefixes,opencode,google/gemini-3.1-pro-preview,11,186889,0.1238938800271429,23154.403344392707,5788.600836098177,,,False
lineno_prefixes,opencode,gpt-5.3-codex,9513,109797986,0.1238938800271429,13603298.504705915,3400824.626176479,1.75,5.951443095808838,True
lineno_prefixes,opencode,gpt-5.4,2028,13095724,0.1238938800271429,1622480.058124576,405620.014531144,2.5,1.01405003632786,True
lineno_prefixes,opencode,gpt-5.5,134,671325,0.1238938800271429,83173.0590092217,20793.264752305426,5.0,0.10396632376152712,True
lineno_prefixes,opencode,gpt-5.5-fast,28,66505,0.1238938800271429,8239.562491205139,2059.8906228012847,5.0,0.010299453114006424,True
