measure,agent,model,n_items,population_chars,sample_share,wasted_chars,wasted_tokens,price_usd_per_mtok,usd,priced
high_ratio_results,claude_code,claude-fable-5,7573,7028989,0.03128181681212582,219879.54627244748,54969.88656811187,10.0,0.5496988656811187,True
high_ratio_results,claude_code,claude-haiku-4-5-20251001,646,628122,0.03128181681212582,19648.797339666096,4912.199334916524,1.0,0.004912199334916524,True
high_ratio_results,claude_code,claude-opus-4-5-20251101,5168,7439634,0.03128181681212582,232725.26793726286,58181.316984315716,5.0,0.29090658492157856,True
high_ratio_results,claude_code,claude-opus-4-6,121909,130523427,0.03128181681212582,4083009.9331048774,1020752.4832762193,5.0,5.103762416381096,True
high_ratio_results,claude_code,claude-opus-4-7,78059,69965655,0.03128181681212582,2188652.802850395,547163.2007125987,5.0,2.7358160035629937,True
high_ratio_results,claude_code,claude-opus-4-8,46850,50093581,0.03128181681212582,1567018.2243053867,391754.55607634666,5.0,1.9587727803817334,True
high_ratio_results,claude_code,claude-sonnet-4-5-20250929,5496,5269683,0.03128181681212582,164845.25826397364,41211.31456599341,3.0,0.12363394369798023,True
high_ratio_results,claude_code,claude-sonnet-4-6,16053,16021491,0.03128181681212582,501181.34651912254,125295.33662978064,3.0,0.37588600988934184,True
high_ratio_results,claude_code,claude-sonnet-5,777,426672,0.03128181681212582,13347.075342863349,3336.768835715837,2.0,0.006673537671431674,True
high_ratio_results,claude_code,exact-dodo,244,217606,0.03128181681212582,6807.111029219452,1701.777757304863,,,False
high_ratio_results,claude_code,glm-4.7,121,300424,0.03128181681212582,9397.808533966088,2349.452133491522,,,False
high_ratio_results,claude_code,glm-5,525,817007,0.03128181681212582,25557.46330822448,6389.36582705612,,,False
high_ratio_results,claude_code,glm-5.1,132,80476,0.03128181681212582,2517.4354897726375,629.3588724431594,,,False
high_ratio_results,claude_code,glm-5.2,30,51519,0.03128181681212582,1611.60792034391,402.9019800859775,,,False
high_ratio_results,claude_code,gpt-5.3-codex,2,26854,0.03128181681212582,840.0419086728268,210.0104771682067,1.75,0.0003675183350443617,True
high_ratio_results,claude_code,kimi-k2.5,15,10198,0.03128181681212582,319.01196785005914,79.75299196251478,,,False
high_ratio_results,claude_code,qwen3.5,1,1139,0.03128181681212582,35.62998934901131,8.907497337252828,,,False
high_ratio_results,claude_code,stealth,31,20302,0.03128181681212582,635.0834449197785,158.77086122994461,,,False
high_ratio_results,codex,gpt-5.1-codex-mini,26,2366,0.08272371837403998,195.7243176729786,48.93107941824465,,,False
high_ratio_results,codex,gpt-5.3-codex,7282,28847445,0.08272371837403998,2386367.915990608,596591.978997652,1.75,1.0440359632458909,True
high_ratio_results,codex,gpt-5.3-codex-spark,196,1188162,0.08272371837403998,98289.17867073609,24572.294667684022,1.75,0.04300151566844704,True
high_ratio_results,codex,gpt-5.4,51919,199790132,0.08272371837403998,16527382.613480274,4131845.6533700684,2.5,10.32961413342517,True
high_ratio_results,codex,gpt-5.4-mini,1260,5313330,0.08272371837403998,439538.41454833787,109884.60363708447,0.75,0.08241345272781335,True
high_ratio_results,codex,gpt-5.5,207239,767785086,0.08272371837403998,63514037.22605207,15878509.306513017,5.0,79.39254653256509,True
high_ratio_results,opencode,anthropic/claude-opus-4.6,30,182122,0.263890888551715,48060.33640481544,12015.08410120386,5.0,0.0600754205060193,True
high_ratio_results,opencode,anthropic/claude-sonnet-4.6,6,1102,0.263890888551715,290.8077591839899,72.70193979599748,3.0,0.00021810581938799242,True
high_ratio_results,opencode,big-pickle,1114,1287475,0.263890888551715,339752.9217381193,84938.23043452982,,,False
high_ratio_results,opencode,claude-haiku-4.5,138,204371,0.263890888551715,53931.644784202545,13482.911196050636,1.0,0.013482911196050636,True
high_ratio_results,opencode,claude-opus-4-6,29,40711,0.263890888551715,10743.261963828869,2685.815490957217,5.0,0.013429077454786087,True
high_ratio_results,opencode,claude-opus-4-7,203,339440,0.263890888551715,89575.12320999414,22393.780802498535,5.0,0.11196890401249268,True
high_ratio_results,opencode,claude-opus-4.6,8,1547,0.263890888551715,408.2392045895031,102.05980114737578,5.0,0.0005102990057368789,True
high_ratio_results,opencode,claude-sonnet-4.5,1,367,0.263890888551715,96.8479560984794,24.21198902461985,3.0,7.263596707385955e-05,True
high_ratio_results,opencode,claude-sonnet-4.6,231,374932,0.263890888551715,98941.13862647161,24735.284656617903,3.0,0.07420585396985371,True
high_ratio_results,opencode,deepseek-v4-flash-free,22,7481,0.263890888551715,1974.16773725538,493.541934313845,,,False
high_ratio_results,opencode,gemini-2.5-flash,4,1944,0.263890888551715,513.003887344534,128.2509718361335,,,False
high_ratio_results,opencode,gemini-3.1-pro-high,31,115926,0.263890888551715,30591.815146246114,7647.953786561528,,,False
high_ratio_results,opencode,gemini-3.1-pro-preview,389,1290234,0.263890888551715,340480.9966996334,85120.24917490836,,,False
high_ratio_results,opencode,glm-5,55,126058,0.263890888551715,33265.55762905209,8316.389407263023,,,False
high_ratio_results,opencode,google/gemini-3.1-pro-preview,201,298337,0.263890888551715,78728.416017853,19682.10400446325,,,False
high_ratio_results,opencode,gpt-5.3-codex,4761,28801256,0.263890888551715,7600389.037245413,1900097.2593113533,1.75,3.3251702037948685,True
high_ratio_results,opencode,gpt-5.4,748,2895384,0.263890888551715,764065.4564584187,191016.3641146047,2.5,0.4775409102865117,True
high_ratio_results,opencode,gpt-5.5,182,287745,0.263890888551715,75933.28372631324,18983.32093157831,5.0,0.09491660465789155,True
high_ratio_results,opencode,gpt-5.5-fast,113,151555,0.263890888551715,39993.98361445517,9998.495903613792,5.0,0.049992479518068955,True
