probe,session_id,agent,model,seq,tool_use_id,tool_kind,file_path,result_chars,result_bytes,gzip_bytes,gzip_ratio,bucket
bash,019d5552-9f6b-7d43-9216-7a9c13d1c4f2,codex,gpt-5.4,6308,call_QQCQRG8SNZCrdbCRjPHxUbWy,bash,,3267,3267,1253,2.607342378292099,2-3
bash,019d5552-9f6b-7d43-9216-7a9c13d1c4f2,codex,gpt-5.4,6762,call_B5LHUzK6G0vWDAgTVbh7vzGK,bash,,1914,1914,783,2.4444444444444446,2-3
bash,019d5552-9f6b-7d43-9216-7a9c13d1c4f2,codex,gpt-5.4,7039,call_9ELAWmVcECyTkfRXRtm59oRd,bash,,188,188,162,1.1604938271604939,<2
bash,019d5552-9f6b-7d43-9216-7a9c13d1c4f2,codex,gpt-5.4,8787,call_rcrpasWPWsJMf5eyYkAngzxa,bash,,422,422,289,1.4602076124567474,<2
bash,019d5552-9f6b-7d43-9216-7a9c13d1c4f2,codex,gpt-5.4,9209,call_9CCA2eJ6NNwZhr1QznfQcHp5,bash,,1045,1045,411,2.542579075425791,2-3
bash,019d5552-9f6b-7d43-9216-7a9c13d1c4f2,codex,gpt-5.4,9430,call_70SM6TBqDLt2xN7ZiWkVQkQI,bash,,3216,3216,1003,3.206380857427717,3-5
bash,019d5e2e-716f-7500-ba0c-709e29778e2b,codex,gpt-5.4,339,call_NEDvym0AmHCNmwUaRCjBoKke,bash,,499,499,282,1.7695035460992907,<2
bash,019d62f5-3225-7142-9e75-ecc3dc600da0,codex,gpt-5.4,522,call_yjwWru59ssTwNdDVLyPRZIPQ,bash,,118,118,108,1.0925925925925926,<2
bash,019d6302-46a7-7e93-8cb0-a2a163e80f68,codex,gpt-5.4,232,call_YbKVm9gerPNanryfJXu9wvfK,bash,,2128,2128,825,2.5793939393939396,2-3
bash,019d633b-5b33-7bd3-9720-f32442afe0a9,codex,gpt-5.4,22,call_1g9IfxrspJ6RTGeEteSeYQ52,bash,,4678,4678,1830,2.5562841530054645,2-3
bash,019d63b3-fef5-7792-aa9b-be8642fa9801-c3a00f0a57fb,codex,gpt-5.4,12,call_UVPZrzVssx2swJtxiN5bPTFR,bash,,48237,48275,9479,5.092836797130499,5-10
bash,019d64a9-6034-79f1-a428-5c6c9bf58bec,codex,gpt-5.4,53,call_HzyKJz6nQDuk1J8PHPzcdphP,bash,,705,705,415,1.6987951807228916,<2
bash,019d652e-bb47-7590-96f1-e572569920a8,codex,gpt-5.4,949,call_NxcVUK5MlpM5pkG3bq0StP05,bash,,9217,9217,2512,3.669187898089172,3-5
bash,019d652e-bb47-7590-96f1-e572569920a8,codex,gpt-5.4,4234,call_Klt0LThXWuPTBAxLtgnteQJ1,bash,,18129,19655,3601,5.458206053873924,5-10
bash,019d652e-bb47-7590-96f1-e572569920a8,codex,gpt-5.4,4849,call_XyA6xcL4WPbkk7NGmm0nbx05,bash,,20621,20621,5239,3.9360564993319334,3-5
bash,019d652e-bb47-7590-96f1-e572569920a8,codex,gpt-5.4,5683,call_Bphidt0WBKso5aTFZWKMARkt,bash,,44,44,50,0.88,<2
bash,019d652e-bb47-7590-96f1-e572569920a8,codex,gpt-5.4,5872,call_xiMv94tecqNFQ82a2dqNRIxR,bash,,3973,3973,976,4.070696721311475,3-5
bash,019d652e-bb47-7590-96f1-e572569920a8,codex,gpt-5.4,6294,call_fD6pdHA2PAG9qZEzuwOyPK90,bash,,4395,4421,798,5.540100250626566,5-10
bash,019d65a7-0bc9-77e1-8e96-452b20910813,codex,gpt-5.4,558,call_YTsTYIfS3S5vh1bAAq9gqSCx,bash,,44,44,49,0.8979591836734694,<2
bash,019d65a8-b2ac-7c70-b20b-bda09cd3db0c,codex,gpt-5.4,180,call_St9ja81ovgXO1vA5gi3J50zf,bash,,5964,5968,2539,2.350531705395825,2-3
